"Fecha","Total de casos","Entidad"
"2020-10-04",224,"OAXACA"
"2020-10-06",164,"YUCATÁN"
"2020-10-03",295,"BAJA CALIFORNIA"
"2020-10-05",112,"QUINTANA ROO"
"2020-09-24",341,"PUEBLA"
"2020-09-28",336,"TAMAULIPAS"
"2020-09-27",737,"GUANAJUATO"
"2020-07-11",149,"CHIHUAHUA"
"2020-09-15",442,"SAN LUIS POTOSÍ"
"2020-10-04",46,"CAMPECHE"
"2020-09-28",143,"HIDALGO"
"2020-10-05",129,"TLAXCALA"
"2020-10-09",296,"DURANGO"
"2020-10-02",175,"BAJA CALIFORNIA SUR"
"2020-03-10",66,"MÉXICO"
"2020-10-09",408,"SAN LUIS POTOSÍ"
"2020-09-30",230,"SONORA"
"2020-08-01",808,"PUEBLA"
"2020-09-10",247,"CHIHUAHUA"
"2020-09-06",704,"NUEVO LEÓN"
"2020-09-24",432,"COAHUILA DE ZARAGOZA"
"2020-07-15",766,"PUEBLA"
"2020-09-07",393,"MICHOACÁN DE OCAMPO"
"2020-09-14",214,"SINALOA"
"2020-10-11",188,"HIDALGO"
"2020-09-01",296,"SINALOA"
"2020-09-20",452,"TAMAULIPAS"
"2020-09-21",1024,"MÉXICO"
"2020-08-29",261,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-07-11",78,"MORELOS"
"2020-10-12",273,"ZACATECAS"
"2020-10-12",173,"HIDALGO"
"2020-10-13",547,"MÉXICO"
"2020-10-13",411,"YUCATÁN"
"2020-10-18",729,"CHIHUAHUA"
"2020-04-07",220,"MÉXICO"
"2020-09-14",151,"QUERÉTARO"
"2020-08-01",668,"COAHUILA DE ZARAGOZA"
"2020-08-13",312,"SONORA"
"2020-09-11",356,"PUEBLA"
"2020-09-01",832,"PUEBLA"
"2020-08-23",172,"CHIHUAHUA"
"2020-10-15",332,"MICHOACÁN DE OCAMPO"
"2020-09-03",758,"MÉXICO"
"2020-09-15",91,"CHIAPAS"
"2020-10-18",355,"TABASCO"
"2020-10-18",117,"TLAXCALA"
"2020-10-18",122,"QUINTANA ROO"
"2020-10-19",268,"HIDALGO"
"2020-10-19",326,"ZACATECAS"
"2020-10-19",348,"TAMAULIPAS"
"2020-10-18",109,"MORELOS"
"2022-01-15",1451,"ZACATECAS"
"2021-02-03",257,"AGUASCALIENTES"
"2021-01-30",537,"JALISCO"
"2021-01-29",189,"ZACATECAS"
"2021-01-11",236,"CHIHUAHUA"
"2021-02-06",276,"YUCATÁN"
"2021-01-09",353,"GUERRERO"
"2021-06-27",902,"BAJA CALIFORNIA SUR"
"2021-04-28",310,"MICHOACÁN DE OCAMPO"
"2021-06-13",143,"AGUASCALIENTES"
"2021-06-15",152,"PUEBLA"
"2021-05-26",273,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-03-04",10424,"CIUDAD DE MÉXICO"
"2021-06-30",475,"JALISCO"
"2021-08-03",595,"DURANGO"
"2021-08-06",672,"HIDALGO"
"2021-07-25",645,"NAYARIT"
"2021-07-30",380,"BAJA CALIFORNIA SUR"
"2021-05-04",545,"NUEVO LEÓN"
"2021-07-21",402,"DURANGO"
"2021-08-11",958,"TAMAULIPAS"
"2021-09-14",1029,"JALISCO"
"2021-09-05",882,"COAHUILA DE ZARAGOZA"
"2021-09-01",427,"BAJA CALIFORNIA SUR"
"2021-06-12",407,"NUEVO LEÓN"
"2021-08-21",365,"NAYARIT"
"2021-08-13",987,"SONORA"
"2021-09-18",1414,"JALISCO"
"2021-09-20",766,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-06-21",788,"MÉXICO"
"2020-05-28",125,"CHIHUAHUA"
"2020-06-17",308,"BAJA CALIFORNIA"
"2020-06-08",371,"CHIAPAS"
"2020-06-25",461,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-06-12",313,"SINALOA"
"2020-06-12",67,"QUERÉTARO"
"2020-05-14",155,"CHIAPAS"
"2020-06-09",114,"TLAXCALA"
"2020-05-28",97,"TLAXCALA"
"2020-06-27",271,"BAJA CALIFORNIA"
"2020-05-29",23,"ZACATECAS"
"2020-06-29",78,"ZACATECAS"
"2020-07-06",102,"NAYARIT"
"2020-04-02",509,"CIUDAD DE MÉXICO"
"2020-10-05",519,"TABASCO"
"2020-10-03",2601,"CIUDAD DE MÉXICO"
"2020-10-05",118,"MORELOS"
"2020-09-29",231,"BAJA CALIFORNIA SUR"
"2020-10-07",228,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2020-09-24",189,"QUERÉTARO"
"2020-10-08",206,"BAJA CALIFORNIA"
"2020-08-08",787,"GUANAJUATO"
"2020-10-12",344,"TAMAULIPAS"
"2020-09-11",326,"COAHUILA DE ZARAGOZA"
"2020-09-14",458,"COAHUILA DE ZARAGOZA"
"2020-09-14",473,"PUEBLA"
"2020-10-14",144,"GUERRERO"
"2020-07-06",283,"OAXACA"
"2021-06-06",493,"BAJA CALIFORNIA SUR"
"2021-07-16",889,"SAN LUIS POTOSÍ"
"2021-08-31",436,"DURANGO"
"2021-11-07",1000,"NUEVO LEÓN"
"2020-06-12",370,"COAHUILA DE ZARAGOZA"
"2020-05-25",193,"GUERRERO"
"2020-07-01",162,"HIDALGO"
"2020-10-04",71,"NAYARIT"
"2020-09-28",203,"ZACATECAS"
"2020-10-11",256,"TAMAULIPAS"
"2020-10-09",100,"CHIAPAS"
"2020-07-10",4589,"CIUDAD DE MÉXICO"
"2021-09-12",556,"COAHUILA DE ZARAGOZA"
"2021-08-31",416,"CHIAPAS"
"2020-07-01",1002,"TAMAULIPAS"
"2020-10-10",253,"BAJA CALIFORNIA SUR"
"2020-04-28",1585,"CIUDAD DE MÉXICO"
"2021-06-30",9215,"CIUDAD DE MÉXICO"
"2021-07-31",1423,"TABASCO"
"2020-06-18",2386,"CIUDAD DE MÉXICO"
"2020-10-16",619,"GUANAJUATO"
"2021-05-30",184,"CAMPECHE"
"2021-09-06",377,"GUERRERO"
"2020-10-11",144,"ZACATECAS"
